Vendedor;Treinamento;Data;Cliente;Valor;Alunos;Instrutor;Conteúdo;Período;Total;Estado ;Avaliação Instrutor
Rodrigo;Access;01/06/2015;Pessoa Física;880;9;Caio ;Regular;Manhã;7.920,00;São Paulo;3
Priscila;Windows;01/06/2016;Pessoa Jurídica;750;12;Fernando;Regular;Tarde;9.000,00;São Paulo;4
Mirian;Excel Básico;01/06/2016;Pessoa Jurídica;800;8;Roberto;Personalizado;Noite;6.400,00;São Paulo;3
Murilo;Excel Intermediário;01/06/2016;Pessoa Jurídica;1000;10;Rosana;Regular;Integral;10.000,00;São Paulo;3
Roberto;Excel Avançado;01/06/2016;Pessoa Física;1200;12;Sandra;Regular;Madrugada;14.400,00;São Paulo;4
Myslaine;Excel Dashboards;01/06/2016;Pessoa Jurídica;1480;10;Sérgio;Regular;Sábado;14.800,00;São Paulo;3
Katia;Excel VBA iniciante;02/06/2016;Pessoa Física;1400;12;Manuel;Personalizado;Domingo;16.800,00;São Paulo;2
Vanessa;Excel VBA avançado;02/06/2016;Pessoa Física;1890;11;Joaquim;Regular;Personalizado;20.790,00;São Paulo;3
Renata;Access VBA;02/06/2016;Pessoa Física;1200;9;Paulo;Regular;Manhã;10.800,00;São Paulo;2
Rodrigo;Word VBA;02/06/2016;Pessoa Jurídica;1200;9;Leandro;Regular;Tarde;10.800,00;São Paulo;2
Priscila;Outlook;04/06/2016;Pessoa Jurídica;800;11;José;Personalizado;Noite;8.800,00;São Paulo;5
Mirian;Outlook VBA;04/06/2016;Pessoa Jurídica;110;12;Caio ;Regular;Integral;1.320,00;São Paulo;4
Murilo;PowerPoint;04/06/2016;Pessoa Física;900;9;Caio ;Regular;Madrugada;8.100,00;São Paulo;4
Roberto;PowerPoint VBA;04/06/2016;Pessoa Jurídica;1180;8;Fernando;Regular;Segunda-feira;9.440,00;São Paulo;3
Myslaine;Access;06/06/2016;Pessoa Física;880;12;Fernando;Personalizado;Terça-feira;10.560,00;São Paulo;5
Katia;Windows;06/06/2016;Pessoa Física;750;12;Ana;Regular;Personalizado;9.000,00;São Paulo;3
Vanessa;Excel Básico;06/06/2016;Pessoa Física;800;11;Paulo;Regular;Manhã;8.800,00;São Paulo;3
Renata;Excel Intermediário;06/06/2016;Pessoa Jurídica;1000;12;Sandra;Regular;Tarde;12.000,00;São Paulo;5
Rodrigo;Excel Avançado;08/06/2016;Pessoa Jurídica;1200;12;Sandra;Personalizado;Noite;14.400,00;São Paulo;2
Priscila;Excel Dashboards;08/06/2016;Pessoa Jurídica;1480;8;Humberto;Regular;Integral;11.840,00;São Paulo;5
Mirian;Excel VBA iniciante;08/06/2016;Pessoa Física;1400;11;Henrique;Regular;Madrugada;15.400,00;São Paulo;3
Murilo;Excel VBA avançado;08/06/2016;Pessoa Jurídica;1890;12;Douglas;Regular;Quarta-feira;22.680,00;São Paulo;2
Roberto;Access VBA;10/06/2016;Pessoa Física;1200;8;Jane;Personalizado;Quinta-feira;9.600,00;São Paulo;2
Myslaine;Word VBA;10/06/2016;Pessoa Física;1200;12;Caio ;Regular;Personalizado;14.400,00;São Paulo;3
Katia;Outlook;10/06/2016;Pessoa Física;800;10;Fernando;Regular;Manhã;8.000,00;São Paulo;4
Vanessa;Outlook VBA;10/06/2016;Pessoa Jurídica;110;11;Roberto;Regular;Tarde;1.210,00;São Paulo;2
Renata;PowerPoint;12/06/2016;Pessoa Jurídica;900;11;Rosana;Personalizado;Noite;9.900,00;São Paulo;2
Rodrigo;PowerPoint VBA;12/06/2016;Pessoa Jurídica;1180;9;Sandra;Regular;Integral;10.620,00;São Paulo;5
Priscila;Access;12/06/2016;Pessoa Física;3200;8;Sérgio;Regular;Madrugada;25.600,00;São Paulo;3
Mirian;Windows;12/06/2016;Pessoa Jurídica;3921;10;Manuel;Regular;Sexta-feira;39.210,00;São Paulo;4
Murilo;Excel Básico;14/06/2016;Pessoa Física;780;12;Joaquim;Personalizado;Sábado;9.360,00;São Paulo;3
Roberto;Excel Intermediário;14/06/2016;Pessoa Física;980;8;Paulo;Regular;Personalizado;7.840,00;São Paulo;2
Myslaine;Excel Avançado;14/06/2016;Pessoa Física;1020;12;Leandro;Regular;Manhã;12.240,00;São Paulo;5
Katia;Excel Dashboards;14/06/2016;Pessoa Jurídica;1340;9;José;Regular;Tarde;12.060,00;São Paulo;5
Vanessa;Excel VBA iniciante;16/06/2016;Pessoa Jurídica;1870;10;Caio ;Personalizado;Noite;18.700,00;São Paulo;3
Renata;Excel VBA avançado;16/06/2016;Pessoa Jurídica;1910;9;Caio ;Regular;Integral;17.190,00;São Paulo;4
Rodrigo;Access VBA;16/06/2016;Pessoa Física;2240;9;Fernando;Regular;Madrugada;20.160,00;São Paulo;4
Priscila;Word VBA;16/06/2016;Pessoa Jurídica;2479;9;Fernando;Regular;Domingo;22.311,00;São Paulo;3
Mirian;Outlook;18/06/2016;Pessoa Física;3200;11;Ana;Personalizado;Segunda-feira;35.200,00;São Paulo;3
Murilo;Outlook VBA;18/06/2016;Pessoa Física;3921;12;Paulo;Regular;Personalizado;47.052,00;São Paulo;4
Roberto;PowerPoint;18/06/2016;Pessoa Física;780;10;Sandra;Regular;Manhã;7.800,00;São Paulo;3
Myslaine;PowerPoint VBA;18/06/2016;Pessoa Jurídica;980;12;Sandra;Regular;Tarde;11.760,00;São Paulo;3
Katia;Access;01/06/2016;Pessoa Jurídica;1020;12;Humberto;Personalizado;Noite;12.240,00;São Paulo;2
Vanessa;Windows;01/06/2016;Pessoa Jurídica;1340;10;Henrique;Regular;Integral;13.400,00;São Paulo;4
Renata;Excel Básico;01/06/2016;Pessoa Física;1870;9;Douglas;Regular;Madrugada;16.830,00;São Paulo;4
Rodrigo;Excel Intermediário;01/06/2016;Pessoa Jurídica;1910;12;Jane;Regular;Terça-feira;22.920,00;São Paulo;4
Priscila;Excel Avançado;01/06/2016;Pessoa Física;2240;12;Caio ;Personalizado;Quarta-feira;26.880,00;São Paulo;3
Mirian;Excel Dashboards;01/06/2016;Pessoa Física;2479;9;Fernando;Regular;Personalizado;22.311,00;São Paulo;3
Murilo;Excel VBA iniciante;02/06/2016;Pessoa Física;3200;9;Roberto;Regular;Manhã;28.800,00;São Paulo;3
Roberto;Excel VBA avançado;02/06/2016;Pessoa Jurídica;3921;10;Rosana;Regular;Tarde;39.210,00;São Paulo;3
Myslaine;Access VBA;02/06/2016;Pessoa Jurídica;780;8;Sandra;Personalizado;Noite;6.240,00;São Paulo;5
Katia;Word VBA;02/06/2016;Pessoa Jurídica;980;10;Sérgio;Regular;Integral;9.800,00;São Paulo;4
Vanessa;Outlook;04/06/2016;Pessoa Física;1020;8;Manuel;Regular;Madrugada;8.160,00;São Paulo;3
Renata;Outlook VBA;04/06/2016;Pessoa Jurídica;1340;10;Joaquim;Regular;Quinta-feira;13.400,00;São Paulo;3
Rodrigo;PowerPoint;04/06/2016;Pessoa Física;1870;10;Paulo;Personalizado;Sexta-feira;18.700,00;São Paulo;5
Priscila;PowerPoint VBA;04/06/2016;Pessoa Física;1910;8;Leandro;Regular;Personalizado;15.280,00;São Paulo;3
Mirian;Access;06/06/2016;Pessoa Física;2240;12;José;Regular;Manhã;26.880,00;São Paulo;5
Murilo;Windows;06/06/2016;Pessoa Jurídica;2479;8;Caio ;Regular;Tarde;19.832,00;São Paulo;4
Roberto;Excel Básico;06/06/2016;Pessoa Jurídica;3200;11;Caio ;Personalizado;Noite;35.200,00;São Paulo;3
Myslaine;Excel Intermediário;06/06/2016;Pessoa Jurídica;3921;12;Fernando;Regular;Integral;47.052,00;São Paulo;3
Katia;Excel Avançado;08/06/2016;Pessoa Física;780;10;Fernando;Regular;Madrugada;7.800,00;São Paulo;2
Vanessa;Excel Dashboards;08/06/2016;Pessoa Jurídica;980;10;Ana;Regular;Sábado;9.800,00;São Paulo;2
Renata;Excel VBA iniciante;08/06/2016;Pessoa Física;1020;10;Paulo;Personalizado;Domingo;10.200,00;São Paulo;3
Rodrigo;Excel VBA avançado;08/06/2016;Pessoa Física;1340;10;Sandra;Regular;Personalizado;13.400,00;São Paulo;3
Priscila;Access VBA;10/06/2016;Pessoa Física;1870;8;Sandra;Regular;Manhã;14.960,00;São Paulo;5
Mirian;Word VBA;10/06/2016;Pessoa Jurídica;1910;8;Humberto;Regular;Tarde;15.280,00;São Paulo;4
Murilo;Outlook;10/06/2016;Pessoa Jurídica;2240;10;Henrique;Personalizado;Noite;22.400,00;São Paulo;5
Roberto;Outlook VBA;10/06/2016;Pessoa Jurídica;2479;9;Douglas;Regular;Integral;22.311,00;São Paulo;5
Myslaine;PowerPoint;12/06/2016;Pessoa Física;3200;11;Jane;Regular;Madrugada;35.200,00;São Paulo;4
Katia;PowerPoint VBA;12/06/2016;Pessoa Jurídica;3921;11;Caio ;Regular;Segunda-feira;43.131,00;São Paulo;5
Vanessa;Access;12/06/2016;Pessoa Física;780;10;Fernando;Personalizado;Terça-feira;7.800,00;São Paulo;4
Renata;Windows;12/06/2016;Pessoa Física;980;12;Roberto;Regular;Personalizado;11.760,00;São Paulo;5
Rodrigo;Excel Básico;14/06/2016;Pessoa Física;1020;11;Rosana;Regular;Manhã;11.220,00;São Paulo;4
Priscila;Excel Intermediário;14/06/2016;Pessoa Jurídica;1340;9;Sandra;Regular;Tarde;12.060,00;São Paulo;3
Mirian;Excel Avançado;14/06/2016;Pessoa Jurídica;1870;11;Sérgio;Personalizado;Noite;20.570,00;São Paulo;5
Murilo;Excel Dashboards;14/06/2016;Pessoa Jurídica;1910;8;Manuel;Regular;Integral;15.280,00;São Paulo;2
Roberto;Excel VBA iniciante;16/06/2016;Pessoa Física;2240;11;Joaquim;Regular;Madrugada;24.640,00;São Paulo;3
Myslaine;Excel VBA avançado;16/06/2016;Pessoa Jurídica;2479;12;Paulo;Regular;Quarta-feira;29.748,00;São Paulo;2
Katia;Access VBA;16/06/2016;Pessoa Física;3200;11;Leandro;Personalizado;Quinta-feira;35.200,00;São Paulo;5
Vanessa;Word VBA;16/06/2016;Pessoa Física;3921;12;José;Regular;Personalizado;47.052,00;São Paulo;2
Renata;Outlook;18/06/2016;Pessoa Física;780;12;Caio ;Regular;Manhã;9.360,00;São Paulo;3
Rodrigo;Outlook VBA;18/06/2016;Pessoa Jurídica;980;8;Caio ;Regular;Tarde;7.840,00;São Paulo;3
Priscila;PowerPoint;18/06/2016;Pessoa Jurídica;1020;10;Fernando;Personalizado;Noite;10.200,00;São Paulo;4
Mirian;PowerPoint VBA;18/06/2016;Pessoa Jurídica;1340;8;Fernando;Regular;Integral;10.720,00;São Paulo;2
Murilo;Access;01/06/2016;Pessoa Física;1870;8;Ana;Regular;Madrugada;14.960,00;São Paulo;3
Roberto;Windows;01/06/2016;Pessoa Jurídica;1910;11;Paulo;Regular;Sexta-feira;21.010,00;São Paulo;2
Myslaine;Excel Básico;01/06/2016;Pessoa Física;2240;10;Sandra;Personalizado;Sábado;22.400,00;São Paulo;2
Katia;Excel Intermediário;01/06/2016;Pessoa Física;2479;8;Sandra;Regular;Personalizado;19.832,00;São Paulo;5
Vanessa;Excel Avançado;01/06/2016;Pessoa Física;3200;10;Humberto;Regular;Manhã;32.000,00;São Paulo;5
Renata;Excel Dashboards;01/06/2016;Pessoa Jurídica;3921;9;Henrique;Regular;Tarde;35.289,00;São Paulo;4
Rodrigo;Excel VBA iniciante;02/06/2016;Pessoa Jurídica;780;8;Douglas;Personalizado;Noite;6.240,00;São Paulo;2
Priscila;Excel VBA avançado;02/06/2016;Pessoa Jurídica;980;10;Jane;Regular;Integral;9.800,00;São Paulo;5
Mirian;Access VBA;02/06/2016;Pessoa Física;1020;9;Caio ;Regular;Madrugada;9.180,00;São Paulo;4
Murilo;Word VBA;02/06/2016;Pessoa Jurídica;1340;12;Fernando;Regular;Domingo;16.080,00;São Paulo;5
Roberto;Outlook;04/06/2016;Pessoa Física;1870;9;Roberto;Personalizado;Segunda-feira;16.830,00;São Paulo;4
